ABBAS	{(abbas)}
ABBOTT	{(abbott)}
ABELSON	{(abelson)}
ABLATED	{(ablate)}
ABLATION	{(ablate)}>ion>
ABNER	{(abner)}
ABRAMS	{(abrams)}
ABREACTION	{(abreact)}>ion>
ABSENTIA	{(absentia)}
ABSINTHE	{(absinthe)}
ABYSSINIANS	{(abyssinia)}>n>
ACCOUTERMENTS	{(accouterment)}
ACETONEMIA	{(acetone)}{(mia)}
ACHESON'S	{(ache)}{(sono)}
ACTINOMETER	{(actin)(meter)}
ACTIVES	{(act)}>ive>
ACTUARIALLY	{(act)>ory>}>al>>ly>
ADAIR	{(adair)}
ADAIR'S	{(adair)}
ADAMS	{(adams)}
ADAMS'S	{(adams)}
ADAMSON	{(adamson)}
ADCOCK	{(adcock)}
ADDISON	{(addison)}
ADE	{(ade)}
ADENAUER	{(adenauer)}
ADIPIC	{(adipic)}
ADLER	{(adler)}
ADOLPHUS	{(adolphus)}
AEROGENES	{(aero)}{(gen)}
AFFAIRE	{(affaire)}
AFFAIRES	{(affaire)}
AFRIKA	{(afrika)}
AGEE	{(agee)}
AGGLUTININ	{(agglutinin)}
AGNOMEN	{(agnomen)}
AGONE	{(agone)}
AGRICOLAS	{(agricola)}
AHMET	{(ahmet)}
AIDA	{(aida)}
AIKEN	{(aiken)}
AINSWORTH	{(ainsworth)}
AINU	{(ainu)}
AIRLINE'S	{(air)}{(line)}
ALABAMIAN	{(alabamian)}
ALAIN	{(alain)}
ALBERTO	{(alberto)}
ALBRIGHT	{(albright)}
ALDEN	{(alden)}
ALDRIDGE	{(aldridge)}
ALEC	{(alec)}
ALEC'S	{(alec)}
ALEMAGNA	{(ale)}{(magna)}
ALEXANDRE	{(alexandre)}
ALF	{(alf)}
ALFA	{(alfa)}
ALGER	{(alger)}
ALIA	{(alia)}
ALIQUOTS	{(aliquot)}
ALISON	{(alison)}
ALIZARIN	{(alizarin)}
ALKALOIDS	{(alkal)>oid>}
ALLEGHENY	{(allegheny)}
ALMA	{(alma)}
ALMAGEST	{(almagest)}
ALPERT	{(alpert)}
ALPHONSE	{(alphonse)}
ALSOP	{(alsop)}
ALTAIRIANS	{(alti)}{(air)}{(ian)}
ALTHEA	{(althea)}
ALTON	{(alton)}
ALVA	{(alva)}
ALVAREZ	{(alvarez)}
ALVIN	{(alvin)}
AMBLER	{(amble)}>er>
AMETHYSTINE	{(amethyst)}>ine>
AMICAM	{(ami)}{(cam)}
AMIS	{(amis)}
AMMONIAC	{(ammoniac)}
AMOS	{(amos)}
AMPHIBOLOGY	{(amphibio)(log)>y>}
ANA	{(ana)}
ANABAPTIST	<ana<{(bapt)>ist>}
ANABAPTISTS	<ana<{(bapt)>ist>}
ANABEL	{(anabel)}
ANAPLASMOSIS	{(anaplasmosis)}
ANASTOMOSES	{(anastomoses)}
ANASTOMOSIS	{(anastomosis)}
ANASTOMOTIC	{(anastomotic)}
ANDERS	{(anders)}
ANDERSON	{(anderson)}
ANDERSON'S	{(anderson)}
ANDREI	{(andrei)}
ANDREWS	{(andrews)}
ANDROMACHE	{(andromache)}
ANGELES	{(angeles)}
ANGELICO	{(angelico)}
ANGELL	{(angell)}
ANGLETERRE	{(angle)}{(terre)}
ANIMIZED	{(anim)>ize>}
ANIONS	<a<{(ion)}
ANISOTROPY	<a<{(iso)(trop)>y>}
ANKARA	{(ankara)}
ANORTHIC	{(anorthic)}
ANSELM'S	{(anselm)}
ANSLEY	{(ansley)}
ANSON	{(anson)}
ANTAGONISED	{(antagon)>ize>}
ANTARES	{(antares)}
ANTHEA	{(anthea)}
ANTI	{(anti)}
ANTIGONE	{(antigone)}
ANTIHISTORICAL	<anti<{(history)>ic>}>al>
ANTINOMIANS	<anti<{(nomin)}{(ian)}
ANTIPHONAL	{(antiphonal)}
ANTIREDEPOSITION	<anti<<re<{(deposit)}>ion>
ANTON	{(anton)}
APOLLINAIRE	{(apollinaire)}
APPIAN	{(appian)}
APPLEBY	{(apple)>by>}
APPLETON	{(appleton)}
AQUACUTIE	{(aqua)}{(cute)}>y>
ARABY	{(araby)}
ARCHFOOL	(arch){(fool)}
ARCO	{(arco)}
ARDEN	{(arden)}
AREAWAYS	{(area)}{(way)}
AREQUIPA	{(arequipa)}
ARGIVE	{(argive)}
ARGOS	{(argos)}
ARHAT	{(arhat)}
ARISTIDE	{(aristide)}
AROMATICK	{(aroma)}{(tick)}
ARP	{(arp)}
ARRANGERS	{(arrange)}>er>
ARTE'S	{(arte)}
ARTIE	{(artie)}
ARTURO	{(arturo)}
ARUNDEL	{(arundel)}
ASHER	{(asher)}
